probability,word
0.01360195,armenian
0.0091815265,state
0.0082673505,israeli
0.007671091,muslim
0.007380643,turkish
0.0064126397,national_aeronautics_and_space_administration
0.0057244753,center
0.0057101627,second
0.005308572,arab
0.0050707455,greek
0.0047474406,survey
0.0042686053,april
0.0042202813,land
0.0040746992,universe
0.00406264,research
0.003916784,war
0.0038708257,woman
0.0038624625,armenia
0.003773512,turk
0.0037558086,old_age
0.003507564,science
0.0034119545,child
0.00340387,report
0.003180637,space
0.0031546906,body
0.0031514594,soldier
0.003045777,food
0.0029687851,jewish
0.002868691,village
0.0028332195,soviet
0.0028255077,attack
0.0027717864,genocide
0.002761004,palestinian
0.0027330748,book
0.0027211164,orbit
0.0027128223,phosphorus
0.0026485473,get_down
0.0026463722,people
0.0025846402,cesium
0.0025651488,doctor
0.0025419956,kill
0.0024801425,slaughter
0.0024759702,article
0.002468321,beginning
0.0024401192,water
0.0023419256,subject
0.002311595,name
0.0022806998,checkup
0.0022563753,new
0.0022445754,city
0.0022429836,health
0.0022144546,deny
0.0022116497,mission
0.0021993096,son
0.0021709108,nuclear
0.0021465821,work_force
0.002138724,leaf
0.002109196,adam
0.002107908,history
0.002105709,scientific
0.0020796014,cause
0.0020385236,azerbaijani
0.0019995258,travel
0.001999073,write
0.0019736504,aid
0.0019671347,busy
0.0019455791,flight
0.0018974529,take
0.0018959045,azerbaijan
0.001871826,continue
0.0018165611,page
0.0018164302,islam
0.0018117116,answer
0.0018064694,district
0.001796647,army
0.0017837852,grave
0.0017810756,azeri
0.0017800652,oxygen
0.0017799754,old
0.0017751482,military_personnel
0.0017748384,print
0.0017630254,military
0.0017433016,area
0.0017116476,escape
0.0016990427,work
0.0016899623,peace
0.001689247,south
0.0016874718,times
0.001683711,airplane
0.0016835496,associate
0.0016656249,priest
0.0016366201,lebanese
0.0016317974,building
0.0016252752,time
0.001610064,boundary_line
0.0015940873,soul
0.001592709,apartment
0.0015857493,wife
0.0015856132,ancient
0.0015833444,march
0.0015465305,today
0.0015459216,mountain
0.0015411742,disease
0.0015240465,proverb
0.0015174557,serum
0.0015159615,killing
0.0015112874,probe
0.001511113,force
0.0014996338,close
0.0014954107,happen
0.00148862,come
0.0014717415,lebanon
0.0014701142,line
0.0014700056,patient
0.001466947,turkey
0.0014666987,ottoman
0.001455382,day
0.0014509548,dead
0.0014485298,homo
0.0014365981,harvard_university
0.0014221426,banks
0.0013985384,fecal_matter
0.0013754301,burn
0.0013704135,nyx
0.0013599453,serve
0.0013464589,treatment
0.0013452197,mention
0.0013341345,cardiopulmonary_resuscitation
0.0013286449,thursday
0.0013228575,spacecraft
0.001318433,head
0.0013141918,jerusalem
0.0013113887,town
0.0013067432,mass
0.0012990655,hospital
0.0012716264,week
0.0012565029,consequence
0.0012426628,national
0.001234111,neighbor
0.0012339298,home
0.0012264875,document
0.0012261986,longer
0.0012225976,include
0.0012199094,rocket
0.0012145956,policy
0.0012120274,later
0.0012111204,greece
0.0012075399,gaza_strip
0.0012053855,degree
0.0011902743,populate
0.0011823599,topographic_point
0.0011767421,holocaust
0.0011737882,island
0.0011627825,unite
0.0011604312,days
0.0011573648,show
0.0011554211,life
0.0011520691,thousand
0.0011512053,extinction
0.0011489125,stay
0.0011466204,general
0.0011395628,hanker
0.0011383191,attempt
0.0011303696,single
0.001129549,geb
0.0011272553,armored_personnel_carrier
0.0011217367,high
0.0011174615,number
0.0011118153,small
0.0011059482,family
0.0010928463,percentage
0.0010913252,york
0.0010885146,approach
0.001088444,establish
0.001085793,university
0.0010851765,ago
0.001071491,control
0.0010702369,case
0.0010699977,age
0.0010687478,cyprus
0.0010639417,istanbul
0.0010618723,away
0.0010546,imperativeness
0.001052494,black
0.0010436289,irani
0.0010416204,calendar_month
0.0010373354,decade
0.001031126,alive
0.0010229783,problem
0.001020462,major
0.0010169073,know
0.0010122576,hebrew
0.001001188,gold
0.0009928619,cambridge_university
0.0009899565,scholar
0.0009855912,left
0.0009834524,hizballah
0.0009769747,plant
0.0009705586,ethnic
0.00096540013,iran
0.0009638193,involve
0.0009621721,transport
0.00095420884,gene
0.0009489879,hazard
0.0009411468,sea
0.00093506364,entrance
0.0009318011,alumnus
0.000931344,organization
0.0009158129,news
0.0009154933,hear
0.0009115042,supply
0.0009106562,mind
0.00090434053,baku
0.00090400636,david
0.00090353144,sent
0.0008995357,terrorism
0.00089553924,rochester
0.0008932265,plan
0.0008931911,nitrogen
0.0008876867,french
0.0008861194,planet
0.0008835996,phase
0.00088334095,neutral
0.00088227383,syria
0.0008774356,cancer
0.0008753315,die
0.00087495556,destroy
0.0008732412,denver
0.0008725403,rebellion
0.00087183784,dock
0.0008701902,west
0.00086986745,soon
0.00086458883,lamb
0.0008552237,detect
0.0008490698,remember
0.00084880384,fly
0.00084560475,regional
0.00084418175,form
0.0008388522,eat
0.00083831913,british
0.00083667744,pain
0.0008365015,service
0.0008352372,school
0.0008351241,arm
0.0008267855,ways
0.00082616165,kurd
0.0008145778,narrative
0.0008107198,roads
0.0008099501,receive
0.00080520666,leave
0.0008047434,guerrilla
0.0008008976,jude
0.0007966861,publication
0.0007872028,lab
0.0007867514,evidence
0.00078511215,holocene
0.0007847012,base_on_balls
0.0007789931,fatherland
0.00077791477,department
0.00077631173,interest
0.0007730743,aged
0.0007704901,method
0.0007658456,shooting
0.0007642233,effects
0.00076307735,bring
0.00076260814,symptom
0.0007600915,terrorist
0.0007591172,chemical_reaction
0.0007558675,order
0.0007399403,scientist
0.00073655247,propulsion
0.0007237912,clock
0.00072262494,drag
0.0007210451,station
0.0007205972,butcher
0.0007203842,wing
0.0007189902,office
0.0007170944,fruit
0.00071689236,test
0.0007138459,washington
0.0007116517,european
0.0007087569,adult
0.0007086704,treat
0.0007051409,testimony
0.00070447574,east
0.00069923716,avant-garde
0.00069876586,race
0.0006942785,turn
0.00069419673,trial
0.00069175183,following
0.0006893379,worsen
0.00068834564,fact
0.0006845865,medium
0.0006836409,holy_eucharist
0.0006826564,exist
0.000682591,wounded
0.0006815018,like
0.0006803028,baby
0.0006802859,revolution
0.0006800777,cold
0.0006772048,flee
0.0006758479,function
0.0006748989,inhabitant
0.0006716224,increase
0.0006715676,swiss
0.0006701569,demand
0.00067007577,prevent
0.0006700275,use
0.00066857954,wound
0.00066549744,young
0.00066511997,atmosphere
0.0006626536,cell
0.00066180417,explain
0.00066171325,face
0.0006585457,help
0.00065319124,river
0.0006508054,convention
0.00064942875,tax_return
0.00064907334,site
0.00064712885,dyer
0.0006452705,two
0.00064513943,incorporate
0.00064357306,sacred
0.0006421106,populace
0.0006408336,africa
0.00063971645,hydrogen
0.0006388166,volume
0.0006380951,smoke
0.0006338553,room
0.00063370203,thymine
0.0006334773,moscow
0.0006327497,rice
0.0006324616,apparently
0.0006315503,male
0.00062905875,pickings
0.0006242324,addition
0.00062066776,february
0.00062009506,northern
0.00061674666,visit
0.0006151674,minority
0.00061466155,zone
0.0006145713,bank
0.0006128722,floor
0.000612519,diet
0.0006118668,hope
0.0006114142,burning
0.0006094791,chemical
0.0006084282,suffer
0.000608298,khan
0.0006077332,natural
0.000607041,husband
0.0006062961,mary
0.0006030696,refugee
0.0006024534,pregnancy
0.0006018679,chess
0.0006000998,curate
0.0005957913,battle
0.0005931746,foundation
0.0005912916,egypt
0.0005893687,nova
0.00058701553,member
0.0005846489,soviet_union
0.0005827093,injury
0.0005811931,cut
0.0005808451,stop
0.0005788505,ward
0.0005779425,propaganda
0.0005733643,throw
0.0005730707,bullet
0.0005712826,distribution
0.0005704937,cook
0.00056943024,zionist
0.000565367,official
0.00056371145,melbourne
0.0005631516,describe
0.000561302,harmonize
0.0005598476,cadaver
0.0005583682,particularly
0.00055818853,temp
0.000557329,early
0.000554755,struggle
0.0005536617,diary
0.00055125577,return
0.0005471206,produce
0.00054634525,keep
0.000543711,finally
0.00054345984,foreign
0.00053851394,fields
0.0005367061,brown
0.0005364654,factor
0.0005362554,sick
0.00053619634,newspaper
0.0005335164,bed
0.0005331133,bomb
0.00053284597,say
0.0005316364,sensitivity
0.00053159887,course
0.0005315712,pope
0.0005286292,american
0.00052849465,see
0.00052697724,repeat
0.00052673026,celebration
0.000526168,large
0.00052582135,candida
0.0005237856,friend
0.0005233312,certain
0.00052178116,passover
0.000521708,orbital
0.00051985646,club
0.00051947584,acid
0.00051919697,field
0.0005175878,announce
0.00051655766,explosion
0.00051495223,ghetto
0.00051267934,heavy
0.00051093294,girl
0.0005105038,december
0.000509925,search
0.0005095322,joseph
0.0005089281,arrive
0.0005086877,lake
0.00050782855,museum
0.0005077501,prostitute
0.0005063919,syrian
0.0005059961,landing
0.00050393085,normally
0.0005032645,expert
0.0005021872,question
0.0004990543,rockefeller
0.000498421,infection
0.0004983105,final
0.000498296,colony
0.0004964575,archbishop
0.00049621967,georgia
0.00049615034,yeast
0.00049590383,penetration
0.00049510924,daily
0.00049473473,desert
0.00049467647,try
0.0004936929,similar
0.00048897346,eyes
0.00048896717,marina
0.0004886243,friday
0.0004883325,carson
0.00048669544,bishop
0.0004851236,stallion
0.00048484263,significant
0.00048445622,air
0.00048358797,give
0.00048255717,modern
0.00048162247,incredulity
0.00048160434,figure
0.00048010523,dawn
0.00047922967,hiv
0.0004787505,rock
0.00047743032,idea
0.0004743225,world
0.00047349225,london
0.00047204632,surface
0.00047162536,mohammed
0.00047153968,barrage
0.00047142414,prince
0.00047047154,military_policeman
0.000469827,observation
0.00046885683,ministry
0.0004682556,manuscript
0.0004677604,acknowledge
0.00046581103,palestine_liberation_organization
0.00046579572,information
0.00046548242,practice
0.00046453052,writer
0.00046443418,elements
0.00046337128,ritual
0.00046160835,corrupt
0.00046139336,procedure
0.00046105377,syndrome
0.000460852,cypriot
0.00046071512,eating
0.00045797808,bury
0.00045735438,strip
0.00045568234,apollo
0.00045518175,europe
0.00045495847,july
0.00045287004,possible
0.0004528333,street
0.00045238528,california
0.00045053285,immediately
0.00045000296,chinese
0.00044856803,oklahoman
0.00044823767,armenian_secret_army_for_the_liberation_of_armenia
0.0004478454,explode
0.0004476678,prosecute
0.00044717046,commanding_officer
0.00044693556,translate
0.0004465764,illness
0.00044618474,interrupt
0.00044326065,death
0.00044153928,asia_minor
0.00044150706,given
0.00044125703,consecration
0.00044112554,institute
0.00044079754,meet
0.00043988792,anas
0.0004398397,celebrated
0.00043969584,femtometer
0.0004390803,jordan
0.0004376088,bayonet
0.0004368303,humanitarian
0.00043460017,theory
0.00043384545,necessity
0.00043364483,time_period
0.000433266,stalin
0.00043035822,ankara
0.00042957094,balcony
0.00042916308,animal
0.0004287172,district_of_columbia
0.00042664382,digest
0.00042528883,gravity
0.00042382677,government
0.00042057986,estimate
0.0004204403,cream_of_tartar
0.00041749456,brad
0.00041725792,impact
0.00041688842,allah
0.00041633894,anguish
0.00041561198,violence
0.00041270282,deep
0.00041266505,shoot
0.00041062033,pressure
0.00040951459,past
0.00040947768,ignite
0.00040922998,remainder
0.0004082788,structure
0.00040704347,year
0.00040696256,trouble_oneself
0.00040514406,claim
0.00040504747,kurdish
0.00040444377,koran
0.0004036342,shaw
0.00040303185,fascist
0.00040152378,develop
0.00040128603,june
0.00040128414,box
0.0004004914,methodology
0.00040032336,physical
0.00039983404,hill
0.0003981222,measure
0.00039729537,memorial
0.00039715917,integrity
0.00039636137,lead
0.00039585025,translation
0.00039434986,avoid
0.00039383213,survivor
0.00039381787,safety
0.00039322002,lady
0.00039301082,minutes
0.00039298422,remedy
0.00039176716,altitude
0.00039139407,walk
0.0003909576,columbia
0.00039063187,conditions
0.00039012407,silence
0.00038920433,hamas
0.00038826547,shame
0.00038723432,dainty
0.00038719462,brother
0.00038639066,hide
0.00038608455,recently
0.00038492098,ron
0.00038311875,date
0.00038256214,harpist
0.00038253496,tobacco
0.0003820368,identify
0.00037960857,principal
0.0003795528,trap
0.0003794334,present
0.0003793089,loss
0.00037905018,exterminate
0.00037887436,seizure
0.00037709004,independence
0.00037672825,miracle
0.00037649748,massacre
0.0003760491,vitamin_d
0.00037447945,fuel
0.0003737327,ship
0.000373343,north
0.00037312837,survive
0.00037280415,achieve
0.00037255892,preliminary
0.00037248092,observe
0.00037113245,egyptian
0.00037071647,section
0.00037062808,skin
0.00037061394,israeli_defense_force
0.00036898814,committee
0.00036890546,one-half
0.00036865557,taste
0.00036850706,uracil
0.00036841253,relations
0.0003675247,zealand
0.0003668835,frequently
0.00036673728,hypothesis
0.00036505293,wesleyan
0.00036246484,road
0.0003624453,undertaking
0.00036240643,verdict
0.00036220203,billboard
0.00036157356,weight
0.00036145223,paragraph
0.0003608345,surprise
0.00036077722,clinic
0.00036056363,restaurant
0.00036038863,night
0.000359973,radiation
0.00035941627,group
0.00035803928,promote
0.00035702184,knife
0.0003569398,liquid
0.00035628272,substance
0.00035615603,command
0.00035610338,chastity
0.00035594142,native
0.00035514732,effective
0.0003546677,leonard
0.00035451856,kind
0.0003531068,tradition
0.0003528089,massive
0.00035239244,redesign
0.00035228272,decrease
0.00035209666,september
0.0003498791,portal
0.00034827748,parish
0.0003472187,vitamin
0.00034669097,calculation
0.00034524762,dream
0.00034522408,meat
0.00034357447,perform
0.00034304734,attention
0.00033972235,severe
0.00033952735,digital_subscriber_line
0.0003384718,physicist
0.00033786002,global_positioning_system
0.00033617072,descent
0.00033585573,meter
0.00033399166,chapter
0.00033384963,bomber
0.00033361444,low
0.00033283586,post
0.00033253667,end
0.00033201094,drink
0.00033128762,event
0.00033119664,range
0.00033032885,tons
0.0003301481,atom
0.00032998252,uta
0.00032870294,muscle
0.00032834263,tank
0.0003278489,wall
0.00032778073,cover
0.000327192,orthodox
0.00032634314,january
0.0003257309,organism
0.00032377758,concern
0.0003235405,short
0.00032268633,care
0.00032197256,sum
0.00032164846,racial
0.00032164296,basil
0.00032159264,table
0.00032072558,foot
0.00032027686,suppress
0.00032021487,predate
0.000320137,neutron
0.00031926442,infectious
0.00031879707,theater
0.00031868156,superstition
0.00031864783,bacillus
0.00031638105,recover
0.0003152131,deceive
0.0003151518,chant
0.000313854,park
0.0003137744,zionism
0.00031334945,letter
0.0003129663,highly
0.00031281917,diagnose
0.00031251233,ear
0.00031238154,panic
0.00031212752,bread
0.00031101354,quintessence
0.00031047035,sit
0.00030896367,success
0.00030863003,current
0.00030692262,miner
0.00030600376,flow
0.00030514755,birth
0.00030472936,power
0.00030387964,secret
0.00030387298,malice
0.00030338592,union
0.00030231845,bolshevik
0.00030176336,armor
0.00030049577,lashkar-e-taiba
0.00030042528,temperature
0.00030004646,hectometer
0.00029990685,saturday
0.00029981762,watson
0.0002984594,idaho
0.00029818885,psychology
0.0002981584,immune
0.00029620316,migraine
0.0002960041,richmond
0.0002943101,acting
0.00029425707,exercise
0.0002942335,accidental
0.00029408062,plain
0.00029286928,rabbi
0.00029277435,thulium
0.00029187222,fistula
0.00029161735,great
0.00029130102,bristol
0.00029105807,yerevan
0.00029066665,november
0.00029041924,territorial
0.00029025503,crisis
0.00028981746,cain
0.00028919513,carrier
0.0002881358,inform
0.00028779116,summary
0.0002871732,disorder
0.00028664703,banquet
0.0002863481,central
0.0002854677,dry
0.00028515776,celestial
0.0002850917,basic
0.00028478817,october
0.00028402545,count
0.0002818431,react
0.00028098482,reporter
0.00028096876,allow
0.00028032667,fifth
0.00028002582,odin
0.00027999617,facility
0.0002792109,langley
0.00027918213,dispute
0.00027904558,collaboration
0.00027865253,unit_of_measurement
0.00027864057,coat
0.00027809397,aunt
0.00027796245,seventh
0.00027794522,quest
0.0002776538,environment
0.00027728203,acerate_leaf
0.000276651,scholarship
0.00027527826,local
0.00027519136,door
0.00027511475,blend
0.00027444755,locate
0.00027444336,mnemosyne
0.00027339114,extreme
0.00027276925,forget
0.00027224014,utrecht
0.00027171773,faint
0.00027081126,orb
0.00027078026,grief
0.00027041486,heat
0.000269757,determination
0.00026973902,historically
0.0002688463,remove
0.00026874684,withdrawal
0.00026736947,construct
0.00026670986,cruelty
0.0002666173,astronomer
0.0002663055,mouth
0.0002659352,hawking
0.0002654153,recall
0.0002649151,pure
0.00026480976,unconventional
0.00026470245,mob
0.00026377258,injure
0.00026376455,lineage
0.0002636476,bacteria
0.00026330588,operational
0.00026323958,balloon
0.00026315,chair
0.00026299796,jaeger
0.00026225534,descry
0.0002613986,explosive
0.0002608918,dangerous
0.0002606921,mugwump
0.00026027625,deaf
0.00025978425,falls
0.00025966487,coerce
0.00025960445,medieval
0.00025955244,khomeini
0.00025837886,atlantic
0.0002582796,pregnant
0.00025778127,eyewitness
0.00025698426,brush
0.00025689334,cross
0.00025680687,evening
0.00025672093,analyze
0.00025579863,confident
0.00025440144,spanish
0.0002540477,late
0.00025298973,suite
0.00025264517,four
0.00025248886,boom
0.0002517387,reappraisal
0.00025151746,understand
0.00025108558,thessaloniki
0.00025094196,manner
0.00025086585,negev
0.0002505082,chronic
0.00025008284,findings
0.00024898176,uranium
0.00024881013,mining
0.00024871237,august
0.00024854095,homeopathy
0.00024847058,prong
0.0002484201,blooming
0.00024810262,heated
0.00024681736,inside
0.00024651064,sleep
0.00024579628,basically
0.0002454847,destiny
0.00024527247,hair
0.00024431857,active_agent
0.00024419487,antibiotic
0.00024246097,freak
0.00024227882,spread
0.00024226982,luna
0.00024186028,protein
0.00024153735,stealth
0.00024112561,interview
0.00024052044,drawer
0.00024047686,aryan
0.00024041127,attach_to
0.00024029781,typical
0.00023983054,negotiation
