probability,word
0.062293664,state
0.05295451,second
0.03303437,trade
0.032258175,uracil
0.023634179,japan
0.016226323,official
0.013348937,japanese
0.008868617,government
0.008609164,agreement
0.0076602018,industry
0.0076281293,unite
0.007230851,foreign
0.0070089092,duty
0.0068923607,curate
0.0060222596,negotiation
0.005757495,plan
0.005707914,market
0.0052341684,international
0.005181479,reagan
0.005051947,house
0.0049074707,president
0.00476814,universe
0.0046862597,meeting
0.004498601,semiconductor
0.0044744373,attempt
0.0042418847,committee
0.0042219716,cut
0.0041841073,import
0.0041520214,year
0.004104228,action
0.0040442045,washington
0.0040260986,issue
0.003986868,administration
0.0038396004,general_agreement_on_tariffs_and_trade
0.0037848381,good
0.0034310692,measure
0.0033469603,economic
0.003324135,see
0.003225279,ministry
0.0032011762,week
0.0030541818,general
0.0030226037,dispute
0.0029524218,congress
0.002944161,senior
0.002908723,open
0.002877039,treaty
0.0028696938,thymine
0.002867214,new
0.0026318275,beginning
0.0026232062,tokyo
0.0026150248,propose
0.0025519582,aid
0.0025326998,urge
0.002529521,excess
0.0024865204,merchandise
0.0023877972,policy
0.0023768,export
0.0023425778,include
0.0022765102,secretary
0.0022705866,hanker
0.0022580437,april
0.0022551673,add
0.0022415582,trading
0.0022348824,enforce
0.0021787675,decision
0.0021571775,representative
0.0021207756,ask
0.0021039112,large
0.002086006,korea
0.002056132,reporter
0.0020557153,round
0.0020501257,privation
0.002044524,senate
0.002031161,today
0.0020217812,name
0.0020169637,sanction
0.001996874,hope
0.0019824363,old_age
0.0019678983,rule
0.0019670594,war
0.0019505552,member
0.0019201536,imbalance
0.0019174471,bit
0.001905925,major
0.0019025862,reduce
0.001856659,proposal
0.001812185,practice
0.0017961031,set
0.0017958924,let
0.0017784567,negociate
0.0017704929,retaliation
0.0017555231,time
0.0017431868,stop
0.001689756,visit
0.0016859847,american
0.0016663908,reform
0.0016553192,relief
0.001651512,legislation
0.0016509515,firm
0.0016477419,manner
0.0016385895,industrial
0.001623866,continue
0.0016106283,french_fries
0.0015952294,worsen
0.0015948925,announce
0.0015829753,goal
0.0015759184,chip
0.0015583637,problem
0.0015492172,community
0.0015416946,maker
0.0015290349,high
0.0014931669,agree
0.0014624646,domestic
0.0014504312,fiscal
0.0014434702,european
0.0014042773,allege
0.001400439,reach
0.0013971133,try
0.001387336,work
0.0013788014,unfair
0.0013703599,agribusiness
0.0013678726,electronic
0.00135818,white
0.0013554853,endanger
0.0013540157,need
0.0013473067,relations
0.0013444771,economy
0.0013368403,keep
0.0013309664,european_union
0.0013208436,fix
0.0013000162,deficit
0.0012813665,position
0.0012808088,seek
0.0012781725,boost
0.0012679499,think
0.001267041,favor
0.0012649354,prime
0.001264324,procedure
0.0012555525,like
0.001243645,south_korean_won
0.0012412858,party
0.001236265,lead
0.0012327178,valley
0.0012206752,united_kingdom
0.0012158386,ways
0.0012051672,support
0.0011921959,bilateral
0.001192006,establish
0.001185769,necessitate
0.001169614,control
0.00116427,council
0.001162736,entree
0.0011584641,agricultural
0.0011481966,warn
0.0011405376,say
0.0011377574,subcommittee
0.0011362449,meet
0.0011360975,free
0.0011356967,strengthen
0.0011337423,certain
0.0011307588,discus
0.0011270602,consequence
0.0011223959,take
0.0011177445,commerce
0.0011149588,expect
0.0011116356,function
0.0011110628,stress
0.0011076566,request
0.0011066336,promote
0.0011013902,concern
0.0010963172,matter
0.0010884367,sign
0.0010775216,oklahoma
0.0010770336,calendar_month
0.0010763297,statement
0.0010741107,withdraw
0.0010635852,reynolds
0.0010627354,act
0.001060094,billion
0.0010588866,subsidy
0.0010273162,south
0.0010259582,memory
0.0010258296,head
0.0010137091,progressive
0.0010006434,injury
0.0009863947,identify
0.0009804324,director
0.000978649,response
0.00097214594,leader
0.0009706461,remark
0.00094887434,extension
0.0009450241,national
0.0009404304,sent
0.0009308255,semen
0.0009239332,worth
0.0009189901,protectionist
0.0009133228,opportunity
0.0009132196,end
0.00091162894,soon
0.00091158634,spouse
0.00090709416,populate
0.0008978644,change
0.0008899117,advancement
0.00088770955,protectionism
0.0008860391,resoluteness
0.00088232895,political
0.0008800931,institution
0.00087664643,order
0.00087552605,planning
0.00087502185,important
0.00087336364,deputy
0.0008715174,side
0.00087124563,departure
0.00086985086,saying
0.00086888747,september
0.0008681271,question
0.0008639414,farm
0.00086330145,guarantee
0.00085940695,tomorrow
0.00085739966,manufacturer
0.0008557993,final
