probability,word
0.067703076,application
0.03504509,license
0.033376027,section
0.030468361,sherlock_holmes
0.027783917,tire
0.025346808,uracil
0.024889844,entreaty
0.023455244,hannover
0.023200676,pass
0.02280576,saga
0.021506013,lake_ontario
0.020157827,fabric
0.019649915,wood
0.01677538,watch
0.015952455,parliamentary
0.013500791,seek
0.012659751,exempt
0.012619917,ford
0.0125721255,secondary
0.011728852,commonwealth_of_independent_states
0.011074365,panel
0.01071558,object
0.010344088,add
0.009890879,previously
0.0091576185,argentine
0.008858723,comprehensive_examination
0.008805137,words
0.008656457,second
0.008468912,barricade
0.008057985,cuddle
0.008016698,counterterrorist_center
0.007803118,injury
0.0077510113,translate
0.0074991593,point
0.007493801,segregation
0.0073711537,blessing
0.0072473786,neighbor
0.006718037,prolong
0.006424503,david
0.0061504976,boycott
0.006140309,report
0.005722101,undoubtedly
0.0055805924,ambassador
0.00546542,veto
0.00535698,problem
0.005231853,presidency
0.005231853,prejudiced
0.0052092373,dismiss
0.0051723523,africa
0.0051702736,control
0.004933877,alarm
0.0048373532,evidence
0.004706652,links
0.004583191,failure
0.004525715,recovery
0.004393838,offprint
0.004099794,decision
0.003993152,temporarily
0.0038894163,trim
0.0038674697,blocking
0.0036754312,israel
0.0035423453,charge
0.0032193786,trader
0.0032179852,molding
0.0032178932,sincerely
0.0032178932,sago
0.0032178932,gabonese
0.0032178932,burglar
0.0029320773,marshall
0.0028342018,sitting
0.002684661,use
0.0026310105,group
0.0025586914,documentation
0.0025369145,postscript
0.0025337327,complementary_color
0.0025047513,vein
0.0024289363,advocate
0.0024245207,exception
0.0024199907,requirement
0.0023636646,support
0.0022303516,mexican
0.0021756177,herring
0.00207029,clarification
0.002048452,regency
0.0020050302,opinion
0.0017628538,apartheid
0.0014437779,canadian
0.001370856,coherent
0.0013389558,israeli
0.0012604209,judgment_of_dismissal
0.0012048315,traffic
0.0011810171,leaning
0.0010452006,tertiary
0.0010452006,salmon
0.0010452006,potomac
0.0010452006,pommy
0.0010452006,incomplete
0.0009920296,wildcat_well
0.0009920296,entirety
0.0009920296,andean
0.000971613,unilateral
0.00085710495,procedural
0.00085710495,map
0.0007024139,cruise
0.00070198294,deficient
0.000518482,namibia
0.000518482,deleterious
0.000518482,dalton
0.00045743835,preserve
0.00039010175,chlorine
0.00039010175,boodle
0.00032882488,details
0.0002616236,investigate
0.00020194061,briefing
0.00012030708,conservation
0.00011582315,indirect
0.00010827115,state
9.873453e-05,insistence
9.81474e-05,unrefined
9.81474e-05,unfortunately
9.81474e-05,summon
9.81474e-05,resumption
9.81474e-05,rehabilitation
9.81474e-05,private_detective
9.81474e-05,perfect
9.81474e-05,jugular_vein
9.81474e-05,hoop
9.81474e-05,dover
8.94977e-05,sale
5.9597798e-05,tax
9.531119e-08,govern
6.4892625e-09,plumb_bob
6.702916e-14,stripper
1.5149947e-17,repair
3.6715946e-20,case
1.5461405e-20,october
7.01295e-21,service
5.156151e-22,ship
2.5234837e-22,african
1.1363867e-22,term
7.525594e-24,operations
6.0354853e-24,true
3.848466e-24,presently
1.8127412e-24,sa
4.149103e-25,rupture
2.6217726e-25,line
1.8236922e-25,year
1.239364e-25,billion
5.9607735e-26,congress
3.53609e-26,virginia
3.1200527e-26,south
2.6254943e-26,widen
2.4047072e-26,monday
