document,probabilities,topic,,,,,,,
earn1,0.5,0.125,0.03125,0.09375,0.09375,0.0625,0.03125,0.0625,1
acq2,0.26213592233,0.00970873786408,0.145631067961,0.0679611650485,0.106796116505,0.0776699029126,0.155339805825,0.174757281553,1
earn3,0.0869565217391,0.217391304348,0.0,0.0869565217391,0.0,0.434782608696,0.173913043478,0.0,6
earn4,0.227272727273,0.113636363636,0.0227272727273,0.0,0.0,0.522727272727,0.0909090909091,0.0227272727273,6
earn5,0.0666666666667,0.133333333333,0.0,0.0666666666667,0.0,0.666666666667,0.0666666666667,0.0,6
earn6,0.1484375,0.0546875,0.1171875,0.1015625,0.15625,0.1171875,0.234375,0.0703125,7
earn7,0.396226415094,0.122641509434,0.0849056603774,0.0283018867925,0.122641509434,0.0754716981132,0.103773584906,0.0660377358491,1
earn8,0.243902439024,0.146341463415,0.0243902439024,0.0243902439024,0.0487804878049,0.487804878049,0.0,0.0243902439024,6
earn9,0.129032258065,0.0322580645161,0.0645161290323,0.0967741935484,0.0967741935484,0.483870967742,0.0967741935484,0.0,6
earn10,0.153846153846,0.538461538462,0.0,0.0,0.0769230769231,0.0769230769231,0.0769230769231,0.0769230769231,2
earn11,0.162162162162,0.216216216216,0.0,0.0540540540541,0.027027027027,0.513513513514,0.0,0.027027027027,6
earn12,0.0588235294118,0.0588235294118,0.0,0.117647058824,0.0,0.705882352941,0.0588235294118,0.0,6
earn13,0.25,0.025,0.025,0.075,0.225,0.05,0.275,0.075,7
earn14,0.0909090909091,0.0681818181818,0.0,0.0454545454545,0.0454545454545,0.75,0.0,0.0,6
acq15,0.132947976879,0.0462427745665,0.0867052023121,0.179190751445,0.306358381503,0.0346820809249,0.132947976879,0.0809248554913,5
trade16,0.0842105263158,0.115789473684,0.0736842105263,0.294736842105,0.0842105263158,0.0526315789474,0.252631578947,0.0421052631579,4
ship17,0.36170212766,0.0212765957447,0.106382978723,0.106382978723,0.0425531914894,0.106382978723,0.106382978723,0.148936170213,1
earn18,0.0434782608696,0.347826086957,0.0,0.0434782608696,0.173913043478,0.173913043478,0.130434782609,0.0869565217391,2
earn19,0.1,0.4,0.0,0.0,0.1,0.2,0.2,0.0,2
earn20,0.206896551724,0.0804597701149,0.0919540229885,0.103448275862,0.103448275862,0.0919540229885,0.264367816092,0.0574712643678,7
ship21,0.0555555555556,0.0238095238095,0.0714285714286,0.0634920634921,0.253968253968,0.0238095238095,0.206349206349,0.301587301587,8
earn22,0.185185185185,0.185185185185,0.111111111111,0.0740740740741,0.0740740740741,0.148148148148,0.037037037037,0.185185185185,1
