document,probabilities,topic,,,,,,,
earn1,0.75,0.03125,0.09375,0.0,0.0625,0.03125,0.03125,0.0,1
acq2,0.368932038835,0.00970873786408,0.155339805825,0.0388349514563,0.155339805825,0.0388349514563,0.116504854369,0.116504854369,1
earn3,0.0434782608696,0.0869565217391,0.0869565217391,0.0869565217391,0.0434782608696,0.652173913043,0.0,0.0,6
earn4,0.272727272727,0.0227272727273,0.0227272727273,0.0,0.0227272727273,0.613636363636,0.0454545454545,0.0,6
earn5,0.0666666666667,0.0,0.0,0.0666666666667,0.0,0.8,0.0666666666667,0.0,6
earn6,0.21875,0.0546875,0.109375,0.140625,0.0390625,0.078125,0.328125,0.03125,7
earn7,0.556603773585,0.11320754717,0.0660377358491,0.0283018867925,0.0566037735849,0.0754716981132,0.0849056603774,0.0188679245283,1
earn8,0.292682926829,0.0731707317073,0.0243902439024,0.0243902439024,0.0243902439024,0.560975609756,0.0,0.0,6
earn9,0.161290322581,0.0322580645161,0.0,0.129032258065,0.0322580645161,0.58064516129,0.0645161290323,0.0,6
earn10,0.0769230769231,0.538461538462,0.0,0.0,0.0769230769231,0.230769230769,0.0769230769231,0.0,2
earn11,0.216216216216,0.0810810810811,0.0,0.027027027027,0.027027027027,0.621621621622,0.027027027027,0.0,6
earn12,0.117647058824,0.0,0.0,0.0588235294118,0.0,0.823529411765,0.0,0.0,6
earn13,0.325,0.025,0.0,0.1,0.175,0.075,0.225,0.075,1
earn14,0.25,0.0,0.0,0.0454545454545,0.0,0.704545454545,0.0,0.0,6
acq15,0.167630057803,0.0404624277457,0.127167630058,0.179190751445,0.265895953757,0.0231213872832,0.161849710983,0.0346820809249,5
trade16,0.168421052632,0.126315789474,0.0421052631579,0.273684210526,0.0631578947368,0.0315789473684,0.242105263158,0.0526315789474,4
ship17,0.468085106383,0.0212765957447,0.0851063829787,0.0425531914894,0.0425531914894,0.063829787234,0.106382978723,0.170212765957,1
earn18,0.130434782609,0.304347826087,0.0,0.0,0.130434782609,0.260869565217,0.130434782609,0.0434782608696,2
earn19,0.2,0.5,0.0,0.0,0.0,0.3,0.0,0.0,2
earn20,0.252873563218,0.0574712643678,0.103448275862,0.0459770114943,0.0919540229885,0.103448275862,0.298850574713,0.0459770114943,7
ship21,0.031746031746,0.0238095238095,0.047619047619,0.0555555555556,0.34126984127,0.015873015873,0.166666666667,0.31746031746,5
earn22,0.259259259259,0.185185185185,0.0740740740741,0.111111111111,0.0,0.111111111111,0.037037037037,0.222222222222,1
earn23,0.0,0.0,0.0,0.105263157895,0.0526315789474,0.789473684211,0.0526315789474,0.0,6
earn24,0.138888888889,0.166666666667,0.0277777777778,0.0,0.0,0.583333333333,0.0833333333333,0.0,6
acq25,0.129032258065,0.161290322581,0.322580645161,0.0645161290323,0.129032258065,0.0,0.0645161290323,0.129032258065,3
earn26,0.153846153846,0.615384615385,0.0,0.0,0.0,0.230769230769,0.0,0.0,2
