document,probabilities,topic,,,,,,,
earn,0.0625,0.125,0.53125,0.03125,0.0625,0.03125,0.03125,0.125,3
acq,0.165048543689,0.0873786407767,0.320388349515,0.106796116505,0.0873786407767,0.0291262135922,0.0679611650485,0.135922330097,3
earn,0.0869565217391,0.478260869565,0.0869565217391,0.0,0.173913043478,0.0,0.0,0.173913043478,2
earn,0.113636363636,0.545454545455,0.0909090909091,0.0,0.0909090909091,0.0,0.0227272727273,0.136363636364,2
earn,0.0,0.733333333333,0.0,0.0,0.0666666666667,0.0,0.0666666666667,0.133333333333,2
earn,0.1328125,0.09375,0.1328125,0.0703125,0.3046875,0.03125,0.046875,0.1875,5
earn,0.0660377358491,0.141509433962,0.320754716981,0.0566037735849,0.169811320755,0.0283018867925,0.0188679245283,0.198113207547,3
earn,0.0487804878049,0.512195121951,0.0731707317073,0.0,0.121951219512,0.0,0.0487804878049,0.19512195122,2
earn,0.0,0.41935483871,0.0,0.0,0.161290322581,0.0,0.129032258065,0.290322580645,2
earn,0.0769230769231,0.307692307692,0.307692307692,0.0769230769231,0.0,0.0,0.0,0.230769230769,2
earn,0.0810810810811,0.513513513514,0.0540540540541,0.0540540540541,0.0810810810811,0.027027027027,0.027027027027,0.162162162162,2
earn,0.0,0.647058823529,0.0,0.0,0.117647058824,0.0588235294118,0.0,0.176470588235,2
earn,0.125,0.075,0.275,0.125,0.125,0.0,0.05,0.225,3
earn,0.0454545454545,0.659090909091,0.0909090909091,0.0,0.0227272727273,0.0227272727273,0.0227272727273,0.136363636364,2
acq,0.150289017341,0.0404624277457,0.21387283237,0.0982658959538,0.184971098266,0.0924855491329,0.115606936416,0.104046242775,3
trade,0.0526315789474,0.0315789473684,0.0736842105263,0.0526315789474,0.252631578947,0.147368421053,0.326315789474,0.0631578947368,7
ship,0.0,0.0851063829787,0.0212765957447,0.36170212766,0.063829787234,0.31914893617,0.063829787234,0.0851063829787,4
earn,0.0,0.260869565217,0.260869565217,0.0434782608696,0.130434782609,0.0,0.0,0.304347826087,8
earn,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.3,2
earn,0.126436781609,0.0919540229885,0.16091954023,0.0689655172414,0.264367816092,0.0229885057471,0.0459770114943,0.218390804598,5
ship,0.0396825396825,0.031746031746,0.150793650794,0.0873015873016,0.126984126984,0.420634920635,0.0952380952381,0.047619047619,6
earn,0.111111111111,0.148148148148,0.0,0.148148148148,0.148148148148,0.037037037037,0.0740740740741,0.333333333333,8
earn,0.0,0.578947368421,0.0,0.0526315789474,0.105263157895,0.0526315789474,0.0,0.210526315789,2
earn,0.166666666667,0.583333333333,0.0833333333333,0.0,0.0555555555556,0.0,0.0277777777778,0.0833333333333,2
acq,0.161290322581,0.193548387097,0.129032258065,0.161290322581,0.0,0.0967741935484,0.0645161290323,0.193548387097,2
earn,0.0,0.230769230769,0.384615384615,0.0769230769231,0.0769230769231,0.0,0.0,0.230769230769,3
earn,0.0,0.425531914894,0.212765957447,0.0851063829787,0.106382978723,0.0212765957447,0.0212765957447,0.127659574468,2
earn,0.0652173913043,0.282608695652,0.152173913043,0.0434782608696,0.0434782608696,0.0869565217391,0.282608695652,0.0434782608696,2
earn,0.04,0.2,0.4,0.08,0.12,0.08,0.04,0.04,3
earn,0.0,0.454545454545,0.181818181818,0.0909090909091,0.0,0.0909090909091,0.0909090909091,0.0909090909091,2
earn,0.0,0.2,0.4,0.0,0.0,0.1,0.1,0.2,3
earn,0.0,0.380952380952,0.190476190476,0.0,0.047619047619,0.0,0.0952380952381,0.285714285714,2
earn,0.0,0.3,0.3,0.1,0.1,0.0,0.0,0.2,2
earn,0.0,0.5,0.1,0.0,0.05,0.0,0.0,0.35,2
acq,0.0,0.128205128205,0.512820512821,0.0769230769231,0.102564102564,0.102564102564,0.0512820512821,0.025641025641,3
earn,0.0740740740741,0.555555555556,0.037037037037,0.0,0.0740740740741,0.037037037037,0.0,0.222222222222,2
earn,0.0,0.454545454545,0.363636363636,0.0,0.0,0.0,0.0,0.181818181818,2
acq,0.102836879433,0.0354609929078,0.191489361702,0.141843971631,0.262411347518,0.0602836879433,0.0815602836879,0.124113475177,5
earn,0.0227272727273,0.0909090909091,0.409090909091,0.0681818181818,0.0681818181818,0.0454545454545,0.0909090909091,0.204545454545,3
earn,0.101694915254,0.0338983050847,0.0338983050847,0.101694915254,0.28813559322,0.0338983050847,0.0508474576271,0.35593220339,8
grain,0.125,0.025,0.15,0.05,0.25,0.125,0.15,0.125,5
acq,0.0425531914894,0.0425531914894,0.468085106383,0.106382978723,0.148936170213,0.106382978723,0.0212765957447,0.063829787234,3
earn,0.0869565217391,0.695652173913,0.0,0.0434782608696,0.0869565217391,0.0,0.0,0.0869565217391,2
crude,0.051724137931,0.0,0.103448275862,0.258620689655,0.189655172414,0.051724137931,0.103448275862,0.241379310345,4
acq,0.15,0.05,0.75,0.05,0.0,0.0,0.0,0.0,3
earn,0.4,0.2,0.2,0.0,0.0,0.2,0.0,0.0,1
earn,0.0958904109589,0.0821917808219,0.0958904109589,0.205479452055,0.164383561644,0.0547945205479,0.041095890411,0.260273972603,8
acq,0.2,0.08,0.08,0.28,0.04,0.0,0.12,0.2,4
acq,0.120689655172,0.137931034483,0.344827586207,0.0862068965517,0.120689655172,0.0344827586207,0.051724137931,0.103448275862,3
grain,0.062015503876,0.0,0.240310077519,0.077519379845,0.271317829457,0.100775193798,0.124031007752,0.124031007752,5
earn,0.0625,0.59375,0.0,0.0,0.125,0.03125,0.0625,0.125,2
earn,0.0,0.166666666667,0.5,0.0,0.0833333333333,0.0833333333333,0.0,0.166666666667,3
earn,0.0,0.642857142857,0.0,0.107142857143,0.0357142857143,0.0,0.0714285714286,0.142857142857,2
earn,0.0714285714286,0.428571428571,0.0,0.0714285714286,0.0,0.0714285714286,0.0,0.357142857143,2
earn,0.0909090909091,0.272727272727,0.0909090909091,0.0,0.0,0.0909090909091,0.0,0.454545454545,8
crude,0.0867579908676,0.0182648401826,0.0776255707763,0.251141552511,0.13698630137,0.214611872146,0.155251141553,0.0593607305936,4
earn,0.0769230769231,0.153846153846,0.153846153846,0.141025641026,0.0641025641026,0.0769230769231,0.0512820512821,0.282051282051,8
earn,0.0769230769231,0.153846153846,0.384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0,0.269230769231,3
earn,0.0810810810811,0.0810810810811,0.405405405405,0.108108108108,0.135135135135,0.0540540540541,0.027027027027,0.108108108108,3
earn,0.0,0.72,0.08,0.0,0.04,0.08,0.0,0.08,2
earn,0.0,0.363636363636,0.0909090909091,0.0,0.0,0.181818181818,0.0909090909091,0.272727272727,2
acq,0.134615384615,0.0384615384615,0.384615384615,0.115384615385,0.115384615385,0.0576923076923,0.0769230769231,0.0769230769231,3
acq,0.0897435897436,0.0641025641026,0.166666666667,0.0512820512821,0.397435897436,0.128205128205,0.0512820512821,0.0512820512821,5
earn,0.181818181818,0.515151515152,0.0606060606061,0.030303030303,0.0606060606061,0.030303030303,0.0,0.121212121212,2
acq,0.260869565217,0.0,0.391304347826,0.0434782608696,0.130434782609,0.0869565217391,0.0434782608696,0.0434782608696,3
earn,0.0,0.5,0.1,0.0,0.0,0.0,0.2,0.2,2
earn,0.0,0.611111111111,0.0555555555556,0.0,0.0555555555556,0.0,0.0,0.277777777778,2
earn,0.0,0.285714285714,0.357142857143,0.0,0.0,0.142857142857,0.0714285714286,0.142857142857,3
earn,0.0,0.333333333333,0.25,0.0833333333333,0.166666666667,0.0833333333333,0.0,0.0833333333333,2
earn,0.0,0.521739130435,0.0869565217391,0.0869565217391,0.0,0.0,0.0434782608696,0.260869565217,2
earn,0.15,0.3,0.05,0.1,0.1,0.0,0.05,0.25,2
earn,0.0416666666667,0.625,0.0416666666667,0.0,0.0833333333333,0.0,0.0,0.208333333333,2
earn,0.0,0.8,0.0,0.0,0.0,0.0,0.0666666666667,0.133333333333,2
acq,0.391304347826,0.0,0.391304347826,0.173913043478,0.0,0.0,0.0,0.0434782608696,1
acq,0.0909090909091,0.0909090909091,0.272727272727,0.272727272727,0.0909090909091,0.0,0.0,0.181818181818,3
earn,0.0,0.421052631579,0.157894736842,0.0,0.105263157895,0.0,0.0,0.315789473684,2
crude,0.3,0.1,0.1,0.1,0.2,0.0,0.0,0.2,1
crude,0.0810810810811,0.027027027027,0.0810810810811,0.27027027027,0.0810810810811,0.0810810810811,0.108108108108,0.27027027027,4
crude,0.116279069767,0.0232558139535,0.116279069767,0.348837209302,0.046511627907,0.0697674418605,0.0697674418605,0.209302325581,4
earn,0.0,0.727272727273,0.0,0.0,0.0909090909091,0.0909090909091,0.0,0.0909090909091,2
acq,0.19512195122,0.0487804878049,0.341463414634,0.0,0.0731707317073,0.0487804878049,0.121951219512,0.170731707317,3
earn,0.0,0.55,0.15,0.0,0.05,0.0,0.0,0.25,2
earn,0.0294117647059,0.529411764706,0.0882352941176,0.0,0.147058823529,0.0294117647059,0.0,0.176470588235,2
earn,0.116279069767,0.581395348837,0.093023255814,0.0,0.0232558139535,0.046511627907,0.046511627907,0.093023255814,2
crude,0.0566037735849,0.0943396226415,0.264150943396,0.0754716981132,0.245283018868,0.0188679245283,0.0943396226415,0.150943396226,3
earn,0.0294117647059,0.647058823529,0.0,0.0294117647059,0.0588235294118,0.0588235294118,0.0,0.176470588235,2
earn,0.0689655172414,0.120689655172,0.51724137931,0.0172413793103,0.051724137931,0.0344827586207,0.051724137931,0.137931034483,3
interest,0.0920245398773,0.0306748466258,0.171779141104,0.0674846625767,0.319018404908,0.0368098159509,0.20245398773,0.079754601227,5
interest,0.031746031746,0.0634920634921,0.126984126984,0.0793650793651,0.47619047619,0.015873015873,0.0952380952381,0.111111111111,5
crude,0.0958333333333,0.0125,0.120833333333,0.245833333333,0.0708333333333,0.15,0.191666666667,0.1125,4
crude,0.06640625,0.02734375,0.0859375,0.0703125,0.19140625,0.23046875,0.21875,0.109375,6
