document,probabilities,topic,,,,,,,
earn,0.0625,0.15625,0.6875,0.0,0.0,0.0,0.03125,0.0625,3
acq,0.174757281553,0.106796116505,0.330097087379,0.106796116505,0.0485436893204,0.0291262135922,0.0582524271845,0.145631067961,3
earn,0.0869565217391,0.478260869565,0.0434782608696,0.0,0.0869565217391,0.0434782608696,0.0434782608696,0.217391304348,2
earn,0.0,0.477272727273,0.0681818181818,0.0,0.181818181818,0.0,0.0,0.272727272727,2
earn,0.0,0.733333333333,0.0666666666667,0.0,0.0,0.0666666666667,0.0,0.133333333333,2
earn,0.1015625,0.03125,0.1796875,0.046875,0.2578125,0.03125,0.078125,0.2734375,8
earn,0.00943396226415,0.11320754717,0.471698113208,0.00943396226415,0.11320754717,0.0377358490566,0.0283018867925,0.216981132075,3
earn,0.0243902439024,0.414634146341,0.0975609756098,0.0,0.170731707317,0.0243902439024,0.0,0.268292682927,2
earn,0.0645161290323,0.41935483871,0.0322580645161,0.0322580645161,0.0322580645161,0.0322580645161,0.0967741935484,0.290322580645,2
earn,0.0769230769231,0.307692307692,0.307692307692,0.0769230769231,0.0,0.0,0.0,0.230769230769,2
earn,0.0,0.513513513514,0.135135135135,0.0,0.135135135135,0.027027027027,0.0,0.189189189189,2
earn,0.0,0.647058823529,0.0,0.0,0.117647058824,0.0588235294118,0.0,0.176470588235,2
earn,0.125,0.05,0.275,0.075,0.075,0.05,0.05,0.3,8
earn,0.0,0.568181818182,0.0909090909091,0.0,0.0454545454545,0.0454545454545,0.0,0.25,2
acq,0.0982658959538,0.0231213872832,0.306358381503,0.0578034682081,0.173410404624,0.0924855491329,0.115606936416,0.132947976879,3
trade,0.105263157895,0.0210526315789,0.0526315789474,0.0842105263158,0.0736842105263,0.126315789474,0.431578947368,0.105263157895,7
ship,0.0425531914894,0.063829787234,0.0851063829787,0.234042553191,0.0851063829787,0.382978723404,0.0425531914894,0.063829787234,6
earn,0.0,0.130434782609,0.521739130435,0.0869565217391,0.0,0.0,0.0,0.260869565217,3
earn,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.2,2
earn,0.0804597701149,0.0459770114943,0.218390804598,0.0344827586207,0.195402298851,0.0344827586207,0.0459770114943,0.344827586207,8
ship,0.0238095238095,0.00793650793651,0.119047619048,0.0873015873016,0.0952380952381,0.531746031746,0.0873015873016,0.047619047619,6
earn,0.148148148148,0.222222222222,0.037037037037,0.148148148148,0.111111111111,0.111111111111,0.037037037037,0.185185185185,2
earn,0.0,0.631578947368,0.0526315789474,0.0,0.0526315789474,0.0526315789474,0.0,0.210526315789,2
earn,0.138888888889,0.555555555556,0.0833333333333,0.0277777777778,0.0277777777778,0.0,0.0,0.166666666667,2
acq,0.322580645161,0.161290322581,0.161290322581,0.0967741935484,0.0967741935484,0.0967741935484,0.0,0.0645161290323,1
earn,0.0,0.307692307692,0.538461538462,0.0,0.0,0.0,0.0,0.153846153846,3
earn,0.0851063829787,0.382978723404,0.212765957447,0.0,0.0425531914894,0.063829787234,0.0212765957447,0.191489361702,2
earn,0.0434782608696,0.282608695652,0.108695652174,0.0,0.0869565217391,0.108695652174,0.260869565217,0.108695652174,2
earn,0.0,0.24,0.44,0.0,0.12,0.04,0.04,0.12,3
