document,probabilities,topic,,,,
/Users/magdalenas/Downloads/textmining (2)/BeyondEntitiesAndRelationships.txt,0.15447667087,0.153215636822,0.145649432535,0.110340479193,0.43631778058,5
/Users/magdalenas/Downloads/textmining (2)/bigdata.txt,0.375,0.166666666667,0.125,0.208333333333,0.125,1
/Users/magdalenas/Downloads/textmining (2)/ConditionsOverCauses.txt,0.139072847682,0.158940397351,0.433774834437,0.122516556291,0.145695364238,3
/Users/magdalenas/Downloads/textmining (2)/EmergentDesignInEnterpriseIT.txt,0.256811989101,0.320163487738,0.130790190736,0.176430517711,0.115803814714,2
/Users/magdalenas/Downloads/textmining (2)/FromInformationToKnowledge.txt,0.466470876163,0.17033773862,0.113069016153,0.156632403328,0.0934899657367,1
/Users/magdalenas/Downloads/textmining (2)/FromTheCoalface.txt,0.126600284495,0.119487908962,0.415362731152,0.146514935989,0.192034139403,3
/Users/magdalenas/Downloads/textmining (2)/HeraclitusAndParmenides.txt,0.141579731744,0.394932935917,0.196721311475,0.144560357675,0.122205663189,2
/Users/magdalenas/Downloads/textmining (2)/IroniesOfEnterpriseIT.txt,0.15905511811,0.149606299213,0.146456692913,0.433070866142,0.111811023622,4
/Users/magdalenas/Downloads/textmining (2)/MakingSenseOfOrganizationalChange.txt,0.150661299597,0.406555491662,0.120184013801,0.158711903393,0.163887291547,2
/Users/magdalenas/Downloads/textmining (2)/MakingSenseOfSensemaking.txt,0.190405355151,0.133134994422,0.156935663816,0.105243584976,0.414280401636,5
/Users/magdalenas/Downloads/textmining (2)/ObjectivityAndTheEthicalDimensionOfDecisionMaking.txt,0.144117647059,0.173529411765,0.167647058824,0.391176470588,0.123529411765,4
/Users/magdalenas/Downloads/textmining (2)/OnTheInherentAmbiguitiesOfManagingProjects.txt,0.170774647887,0.193661971831,0.397887323944,0.130281690141,0.107394366197,3
/Users/magdalenas/Downloads/textmining (2)/OrganisationalSurprise.txt,0.146198830409,0.171052631579,0.166666666667,0.112573099415,0.40350877193,5
/Users/magdalenas/Downloads/textmining (2)/ProfessionalsOrPoliticians.txt,0.435960591133,0.145320197044,0.211822660099,0.0972906403941,0.10960591133,1
/Users/magdalenas/Downloads/textmining (2)/RitualsInInformationSystemDesign.txt,0.380494505495,0.178571428571,0.179945054945,0.160714285714,0.100274725275,1
/Users/magdalenas/Downloads/textmining (2)/RoutinesAndReality.txt,0.159747292419,0.153429602888,0.403429602888,0.170577617329,0.112815884477,3
/Users/magdalenas/Downloads/textmining (2)/ScapegoatsAndSystems.txt,0.110932475884,0.157556270096,0.151125401929,0.432475884244,0.147909967846,4
/Users/magdalenas/Downloads/textmining (2)/SherlockHolmesFailedProjects.txt,0.188445667125,0.133425034388,0.196698762036,0.0852819807428,0.396148555708,5
/Users/magdalenas/Downloads/textmining (2)/SixHeresiesForBI.txt,0.171398527865,0.418506834911,0.157728706625,0.132492113565,0.119873817035,2
/Users/magdalenas/Downloads/textmining (2)/SixHeresiesForEnterpriseArchitecture.txt,0.199095022624,0.156862745098,0.184012066365,0.340874811463,0.119155354449,4
/Users/magdalenas/Downloads/textmining (2)/TOGAFOrNotTOGAF.txt,0.154166666667,0.391666666667,0.135416666667,0.19375,0.125,2
/Users/magdalenas/Downloads/textmining (2)/TheArchitectAndTheApparition.txt,0.136531365314,0.119926199262,0.121771217712,0.09963099631,0.522140221402,5
/Users/magdalenas/Downloads/textmining (2)/TheCloudAndTheGrass.txt,0.133333333333,0.133333333333,0.0333333333333,0.466666666667,0.233333333333,4
/Users/magdalenas/Downloads/textmining (2)/TheConsultantsDilemma.txt,0.122807017544,0.118421052632,0.508771929825,0.146198830409,0.103801169591,3
/Users/magdalenas/Downloads/textmining (2)/TheDangerWithin.txt,0.16459197787,0.426002766252,0.170124481328,0.135546334716,0.103734439834,2
/Users/magdalenas/Downloads/textmining (2)/TheDilemmasOfEnterpriseIT.txt,0.143274853801,0.150584795322,0.426900584795,0.184210526316,0.0950292397661,2
/Users/magdalenas/Downloads/textmining (2)/TheEssenceOfEntrepreneurship.txt,0.124908155768,0.460690668626,0.162380602498,0.142542248347,0.109478324761,2
/Users/magdalenas/Downloads/textmining (2)/ThreeTypesOfUncertainty.txt,0.422306959009,0.176358436606,0.118207816969,0.179218303146,0.103908484271,1
/Users/magdalenas/Downloads/textmining (2)/UnderstandingFlexibility.txt,0.128630705394,0.167358229599,0.13969571231,0.453665283541,0.110650069156,4
/Users/magdalenas/Downloads/textmining (2)/sherlockHolmesMgmtFetis.txt,0.378491620112,0.168994413408,0.222067039106,0.129888268156,0.100558659218,1
