basic word,word form Word2Vec
light,light
light,lights
light,yellowish_glow
light,illumination
light,Scaffold_Towers_DIY
light,injuries_Fuellhardt
light,workers_differently_Corenthal
light,Light
light,glow
light,sensitive_photoreceptor_cells
light,illuminate
light,OLEDs_emit
light,lighted
light,ghostly_glow
light,lighting
light,ultraviolet_laser
light,Incandescent_lights
light,headlight_beams
light,dim
light,Weemer_volunteered_details
light,dark
light,sunlight
light,Shabbos_candles
light,tuna_salmon_pollock
light,fluorescent_glow
light,bright
light,metal_halide_lamps
light,slanting_rays
light,illuminated
light,amber_glow
light,QEII_TJ_Marta
light,phosphoric_liquid
light,shine
light,pinkish_glow
light,illuminating
light,amber_LEDs
light,candlepower
name,name
name,names
name,surname
name,moniker
name,Trajche_Shoposki
name,monikers
name,nickname
name,forename
name,pseudonym
name,monicker
name,Name
name,patronymic
name,prefix
name,surnames
name,mailing_address
name,alias
name,identity
name,Steelerstahl
name,birthdate
name,nicknames
name,Sumaiya_uses
name,logo_dsPIC
name,initials
name,spelled_incorrectly
name,logo
name,Daood_Sayed_Gilani
name,_to_disclose
name,palmsolo
name,suffix
name,Rapamune_R
name,nom_de_guerre
name,nom_de_plume
earth,earth
earth,Earth
earth,planet
earth,meek_inheriting
earth,earths
earth,cosmos
earth,mankind
earth,mega_vertebrate
earth,shepherded_Tolkien_Middle
earth,ERDAS_creates
earth,Martian_surface
earth,driest_deserts
earth,humankind
earth,spadeful
earth,coldest_driest
earth,lunar_surface
earth,earthly
earth,Hoidas_Lake_rare
earth,comets_asteroids
earth,planetary
earth,universe
earth,Tormentor_Mike
earth,Fashion_Movie_Reviews
earth,heavens
earth,Upsilon_Andromedae_b
earth,earth_crust
earth,Earth_crust
earth,Ian_McShane_Pillars
earth,Jerusalem_Judea_Samaria
earth,Walid_al_Azzawi
earth,limbo_Len_Gengel
earth,Meteor_showers_occur
earth,moon
earth,Manned_missions
earth,Earthly
english,english
english,Institute_ITRI_eng
english,English
english,spanish
english,grammer
english,japanese
english,french
english,lyk
english,dutch
english,american
english,england
english,korean
english,Malaya_Gruzinskaya_M._Barrikadnaya
english,british
english,comprende
english,lol
english,pearson
english,chinese
english,aberdeen
english,german
english,ENGLISH
english,european
english,tl
english,europe
english,portugal
english,portuguese
english,epl
english,ricky
english,mcmahon
english,lewis
english,Engish
english,u_cant
english,indian
english,stfu
english,gv
english,uga
english,europeans
english,langauge
english,birmingham
english,sth
english,sheffield
english,bahasa
english,juan
english,uefa
english,ds
english,im
english,español
english,ferguson
english,Dnt
english,anelka
english,malay
english,cambridge
english,mitch
english,asians
english,france
english,gomes
english,malaysian
english,arthur
english,america
english,torres
english,crosby
english,cody
english,howard
english,evn
english,hargreaves
english,lish
english,google_chrome
english,asian
english,b4_u
english,riting
english,HAHA
english,sry
english,vince
english,i_cant
english,plz
english,speling
english,marathi
english,eaglefly
