basic word,word form Word2Vec
state,state
state,statewide
state,thestate
state,district
state,State
state,county
state,Legislature
state,districts
state,federal
state,commonwealth
state,stateís
state,governor
state,stateâ
state,legislature
state,multimember_districts
state,legislators
state,legislatively_enacted
state,CHEYENNE_WYOMING_Wyoming
state,nation
state,unconstitutionally_inadequate
state,national
state,statewide_nonjudicial
state,_State
state,government
state,stateÕs
state,stateâ_€_™
state,regional
state,states
state,Joanna_Prukop
people,people
people,peole
people,poeple
people,individuals
people,folks
people,peple
people,peo_ple
people,peope
people,citizens
people,Americans
people,People
people,persons
people,others
people,residents
people,pople
people,ofpeople
people,teenagers
people,poeople
people,youths
people,peoplewho
people,children
people,person
people,peolpe
people,families
people,kids
people,those
people,workers
people,peoople
people,adults
people,people.I
people,someone
people,eople
people,foreigners
people,peoplein
people,peopl
people,them
people,Brevardians
people,peop
people,students
people,Michiganians
people,peopel
people,everyone
people,locals
people,peoples
people,Ozarkers
people,pepole
people,Augustans
people,thepeople
people,somebody
people,Lincolnites
people,Merapi_fertile_slopes
people,schoolchildren
people,prople
people,anyone
people,Stark_Countians
people,Santa_Barbarans
people,everybody
people,patients
people,Illinoisans
people,Christians
people,Mid_Southerners
people,Crilly_niece
people,Alabamians
people,Kodiakans
people,Texomans
people,peopple
people,villagers
people,voters
people,Ugandans
people,Quad_Citians
people,thirtysomething_Garth_Brooks
people,anybody
people,Delawareans
people,Kunga_Yeshi
people,Sudburians
city,city
city,citys
city,mayor
city,town
city,municipality
city,municipal
city,downtown
city,thecity
city,Mayor
city,district
city,county
city,neighborhoods
city,City
city,metropolis
city,cities
city,citywide
city,neighborhood
city,council
city,township
city,borough
city,aldermen
city,mayoral
city,urban_renewal
city,councilman
city,cityâ_€_™
city,residents
city,mayoral_candidate
city,Downtown
city,manager_Gordon_Pedrow
city,spokeswoman_Meg_Olberding
city,Rio_Nuevo_redevelopment
city,downtown_revitalization
city,Bobkiewicz
city,Senyko
city,Manager_Bryon_Mazade
city,towns
city,outlying_areas
city,Dale_Iman
city,Engineer_Jon_Erichson
city,councilwoman
city,streets
city,treasurer_Onorio_Colucci
city,member_Sharon_Fearey
city,municipalities
city,annex_unincorporated
city,councilmen
city,Ms._Suhm
city,Buzinec
city,Kolomichuk
city,Manager_Dave_Jinkens
city,alderman
city,suburbs
city,outlying_townships
city,cityís
city,Manager_Judy_Gilleland
city,Mayor_Billy_Skellie
city,village
city,Municipality
city,Councilwoman_Nina_Trasoff
city,noncity
city,area
city,Councilwoman_Elbra_Wedgeworth
city,Councilman_Sal_Espino
city,Redevelopment_Agency
city,Deb_Haswell
city,Councilman_Richard_Furstenau
city,Auditor_Ted_Pileski
city,Wayne_Cauthen
city,member_Sue_Schlapp
city,banning_panhandling
city,riverfront
city,Manager_Isaiah_Hugley
city,sewer
city,mayors
city,Manager_Darlene_Burcham
city,Councilman_Dean_Maulhardt
city,DOMB
city,councilpeople
city,Greg_Shelko
city,Gretsas
city,Mayor_Ron_Pilozzi
city,civic
city,spokeswoman_Ceeon_Quiett
city,Commissioner_Marty_Beezley
city,Czopp
city,Kirichkow
city,spokeswoman_Marianne_Bichsel
city,Manager_Howard_Kunik
city,Councilman_Shea_Flinn
city,Councilwoman_Karin_Uhlich
city,demolish_dilapidated
city,Herb_Llewellyn
city,Mayor_Melanie_Fesmire
city,engineer_Jon_Erichson
city,Aqui_Esta_Drive
city,Larry_Soos
city,Loudiana
city,Krasienko
city,unincorporated_areas
city,conurbation
city,Manager_Tom_Muehlenbeck
city,Councilwoman_Lorie_Smith
city,Councilman_Dave_Aiazzi
city,Mark_Palesh
city,walkable_livable
city,townships
city,Aldermen
city,Mayor_Lioneld_Jordan
city,muncipal
city,Abrica
city,Concatto
city,Ken_Eftink
city,Suhm
city,cityâ
city,Ray_Kerridge
city,TUMF
city,Mayor_Pauline_Repp
city,Manager_Kristoff_Bauer
city,Soren_Simonsen
city,ciy
city,Councilman_Kent_Denapolis
city,Santiago_Corrada
city,Murray_Totland
city,Slottag
city,Ron_Mattiussi
city,Councilman_Frank_Szollosi
city,Ernie_Slottag
city,Councilman_Ed_Ulledalen
city,Scott_Dadson
city,Manager_Dennis_Kief
city,Controller_Bud_Polhill
city,Zienkowski
city,Manager_Phillip_Rodenberg
city,Angelo_Roefaro
city,Commissioner_Terrye_Howell
city,garbage_pickup
city,outlying_neighborhoods
city,Linda_Fox_Mellway
city,eastside
city,extraterritorial_zoning_jurisdiction
city,poorest_neighborhoods
city,President_Danyce_Neal
city,Councilwoman_Maryellen_O'Shaughnessy
city,Arnold_Kempe
city,Mayor_Don_Culliver
city,Mayor_Scott_Harbertson
city,Municipal
city,Mayor_Ed_Neelly
city,dowtown
city,Manager_Carmen_Cavezza
city,ordinance
city,waterfront
city,Tom_Bonfield
city,Glenn_Southard
city,Wayne_Feiden
city,greenspace
city,Peter_Steblin
city,Community_Redevelopment_Agency
city,megacity
city,Steve_Sheiffer
city,Les_Bumgarner
unite,unite
unite,unify
unite,uniting
unite,united
unite,unites
unite,unifying
unite,coalesce
unite,unity
unite,galvanize
unite,mobilize
unite,reunite
unite,unified
unite,disunite
unite,forge
unite,shun_tribalism
unite,sow_discord
unite,conquer
unite,rededicate_themselves
unite,forge_alliances
unite,unifier
unite,sow_dissension
unite,unitedly
unite,heal_rifts
unite,organize
unite,mend_rift
unite,transcend
war,war
war,wars
war,War
war,invasion
war,Persian_Gulf_War
war,Vietnam_War
war,Iraq
war,unwinnable_quagmire
war,un_winnable
war,occupation
war,conflict
war,un_winnable_war
war,hostilities
war,thewar
war,World_WarII
war,unwinnable_war
war,war.The
war,Cold_War
war,warfare
war,Gulf_War
war,unwinable
war,unwinnable_wars
war,wartime
war,WW_II
war,unilateral_preemptive
war,andAfghanistan
war,isolationism_sir
war,World_War_II
war,Af_ghanistan
war,antiwar_activism
war,WWII
war,Wars
war,hopeless_quagmire
war,WWll
war,oust_Saddam_Hussein
war,Jaw_jaw
war,Irag
war,GWOT
war,unrestricted_submarine_warfare
war,battlefields
war,Civil_War
war,depose_Saddam_Hussein
war,Nigerian_Biafran
war,Wolfowitz_courted_controversy
war,civil_strife
war,WW2
war,Nigeria_Biafra
war,previous_fragging_incidents
war,WWI
war,topple_Saddam_Hussein
war,Tet_Offensive
war,de_escalatory
war,wartimes
war,fratricidal_war
war,Tet_offensive
war,Axis_Powers
war,bloody_internecine
war,antiwar_movement
war,Islamofascist_aggression
war,battlefield
war,Desert_Storm
war,preemptive_wars
war,cardiovascular_disease_DeMaria
war,fratricidal_conflict
war,depose_Saddam
war,inIraq
war,Korean_War
war,Iraqization
war,pacifists_protesting
war,Afghanistan
war,insurgency
war,unwinable_war
war,troops
war,unwinnable
war,troop_surge
war,declaring_Mission_Accomplished
war,militarism
war,vietnam
war,correspondent_Martha_Gellhorn
war,Falklands_War
war,iraq
war,abstract_noun
war,Vietnamisation
war,antiwar
war,guerrilla_warfare
war,genocide
war,postwar
war,warmongering
war,waging_war
war,WWIII
war,deposing_Saddam_Hussein
war,Ballet_Russe_disbanded
war,gradual_troop_withdrawal
war,VietNam
war,Abdullo_fled
war,doughboys
war,unflinching_supporter
war,Sadrist_lawmaker_Falah_Shanshal
war,Boer_War
war,Philippine_Insurrection
war,Khorasan_refers
war,Napoleonic_wars
war,Viet_Cong_guerrilla
war,GI_resisters
war,Key_Developments_Concerning
war,ousting_Saddam_Hussein
war,insurgencies
war,Soviet_occupation
war,troop_withdrawal
war,elder_Bacevich
war,war_mongering
war,Allied_firebombing
war,Malayan_Emergency
war,combat
war,counterinsurgencies
war,warmakers
war,Operation_Desert_Storm
war,Islamo_facism
war,Unequivocal_opposition
war,Franco_Prussian_war
war,Richard_Nugee
war,Crimean_War
war,extricating_ourselves
war,Defeatocrats
war,toppling_Saddam
war,Salvador_Option
war,holocaust
war,Balkan_Wars
war,Beinart_argues
war,guerrila
war,unembedded_journalist
war,liberation
war,Nuremburg_Trials
war,tribunal_Weerawansa
war,terrorism
war,Stephen_Colbert_shaves
universe,universe
universe,cosmos
universe,Universe
universe,galaxy
universe,universes
universe,planets
universe,planet
universe,observable_universe
universe,cosmic
universe,multiverse
universe,galaxies
universe,spacetime
universe,galactic
universe,interstellar_cloud
universe,solar_nebula
universe,protoplanetary_disk
universe,Big_Bang
universe,Milky_Way_Galaxy
universe,Milky_Way_galaxy
universe,faraway_galaxy
universe,planetary
universe,supernova
universe,circumstellar_disks
universe,distant_galaxy
universe,alternate_universes
universe,supernovas
universe,singularity
universe,Stargate_universe
universe,planetoids
universe,subatomic
universe,macrocosm
universe,Solar_System
universe,multiverses
universe,Andromeda_galaxy
universe,Milky_Way
universe,humping_Portland
universe,distant_galaxies
universe,celestial_sphere
universe,cosmological
universe,neutralinos
universe,axions
universe,inhabitable_planets
universe,interstellar
universe,nebula
universe,wormhole
universe,parallel_universes
universe,Oort_Cloud
universe,Earths
universe,Gravitational_waves
universe,abiogenesis
universe,heliosphere
universe,baryonic_matter
universe,distant_supernovae
universe,extrasolar
universe,habitable_planet
universe,wormholes
universe,Proxima_Centauri
universe,Crab_Nebula
universe,Cosmologists
universe,Wolf_Rayet_star
universe,gameworld
universe,supernova_explosion
universe,habitable_worlds
universe,planets_moons
universe,Uranus
universe,matter_antimatter_asymmetry
universe,supernova_explosions
universe,antimatter_particles
universe,supernovae_explosions
universe,supernovae
universe,dynamical_evolution
universe,globular_cluster
universe,planets_orbits
universe,redshifted
universe,luminous_galaxies
universe,subatomic_scale
universe,planetoid
universe,baryons
universe,singularities
universe,protoplanet
universe,interstellar_space
universe,magnetar
universe,habitable_planets
universe,noosphere
universe,blackholes
universe,starburst_galaxy
universe,Higgs_Boson_particle
universe,galaxies_collide
universe,astronomical_objects
universe,lensing_galaxy
universe,moon_Ganymede
universe,parallel_universe
universe,intergalactic
universe,Cosmic_Microwave_Background
universe,Kuiper_belt
universe,cosmological_distances
universe,beings
universe,protostar
universe,wavefunction
universe,GJ####b
universe,Neutron_stars
universe,cosmologists
universe,merging_galaxies
universe,Gliese_###c
universe,elliptical_galaxies
universe,celestial_bodies
universe,exo_planet
universe,quasars
universe,globular_clusters
universe,Multiverse
universe,Earth
universe,superstrings
universe,Earths_orbiting
universe,Kuiper_Belt_object
universe,Milky_Way_halo
universe,galactic_cores
universe,globulars
universe,Kuiper_Belt_Objects
universe,planets_orbiting_stars
universe,cosmological_theories
universe,mankind
universe,extraterrestrial_UFOs
universe,Fomalhaut_b
universe,SN_####A
universe,filamentary_structure
universe,quantum_physics
universe,rocky_planets
universe,sterile_neutrinos
universe,protoplanetary_disks
universe,planetary_orbits
universe,Corot_7b
universe,outer_planets
universe,neutron_star
universe,Marvel_Universe
universe,nebulae
universe,planet_Uranus
universe,quark_gluon_plasma
universe,Oort_cloud
universe,earths
universe,interstellar_dust
universe,Earth_magnetosphere
universe,Coma_Cluster
universe,cosmology
universe,planemos
universe,galaxy_formation
universe,Marvel_universe
universe,proto_galaxies
universe,Eli_Danziger
universe,spherical_halo
universe,spatial_dimensions
universe,CoRoT_##b
universe,EVE_universe
universe,Galaxies
universe,galactic_mergers
universe,gravitational_tides
universe,atoms
universe,galaxy_clusters
universe,interstellar_clouds
universe,ULIRGs
universe,HM_Cancri
universe,supermassive
universe,comet_nucleus
universe,HD######b
universe,BP_Psc
universe,accretion_disk
universe,astrophysical_objects
universe,Star_Wars_universe
universe,Wormholes
universe,Einstein_cosmological_constant
universe,interstellar_medium
universe,Saturn_moons
universe,wave_particle_duality
universe,gravitational_attraction
universe,nebular
universe,cosmic_phenomena
universe,Kuiper_Belt
universe,Schrödinger_cat
universe,Hubble_Constant
universe,Omniverse
universe,supergiant_star
universe,habitable_zones
universe,interstellar_dust_grains
universe,fundamental_constants
universe,astrophysical
universe,moons_orbiting
universe,cosmological_parameters
universe,atomic_nucleus
universe,exoplanet_orbiting
universe,planetary_nebulae
universe,antiquarks
universe,sunlike_star
universe,Higgs_bosons
universe,eccentric_orbits
universe,reionization
universe,relativistic
universe,humankind
universe,gravitational_pulls
universe,Saturn_magnetosphere
universe,supermassive_stars
universe,baryon
name,name
name,names
name,surname
name,moniker
name,Trajche_Shoposki
name,monikers
name,nickname
name,forename
name,pseudonym
name,monicker
name,Name
name,patronymic
name,prefix
name,surnames
name,mailing_address
name,alias
name,identity
name,Steelerstahl
name,birthdate
name,nicknames
name,Sumaiya_uses
name,logo_dsPIC
name,initials
name,spelled_incorrectly
name,logo
name,Daood_Sayed_Gilani
name,_to_disclose
name,palmsolo
name,suffix
name,Rapamune_R
name,nom_de_guerre
name,nom_de_plume
large,large
large,sizeable
large,small
large,sizable
large,Large
large,huge
large,larger
large,massive
large,smaller
large,substantial
large,gigantic
large,vast
large,enormous
large,big
large,significant
large,humongous
large,Huge
large,tiny
large,largish
large,smallish
large,LARGE
large,gargantuan
large,minuscule
large,signficant
large,considerable
large,medium_sized
large,miniscule
large,large_scale
large,hefty
large,Sizable
large,Larger
large,Smaller
large,Sizeable
large,size
large,humungous
large,outsized
south,south
south,north
south,east
south,west
south,southeast
south,northeast
south,southwest
south,northwest
south,southern
south,eastern
south,northern
south,miles_southeast
south,miles_northeast
south,southward
south,western
south,miles_northwest
south,southwesterly_direction
south,miles_southwest
south,southest
south,eastward
south,###km_northwest
south,kilometers_northwest
south,southeastern
south,westernmost
south,Mudslides_halted_north
south,southwestern
south,Burmese_pythons_slithering
south,northwestern
south,near
south,kilometers_northeast
south,inland
south,southeasterly_direction
south,miles
south,Sinkhole_closes
south,northeastern
south,kilometers_southwest
south,kilometers_southeast
south,northwards
south,southernmost
south,paralleling_Interstate
south,westward
south,Baiji_###km
south,###km_southwest
south,###km_northeast
south,northward
south,kms_southeast
south,Endless_Caverns_Road
south,northwesternmost
south,Interstate##
south,Albu_Mohammad
south,Mount_Parnonas
south,###km_north
south,southwards
south,Tanker_explodes
south,Sarcee_Tr
south,Tornado_Alley_swath
south,westwards_towards
south,###km_southeast
south,southeastwards
south,Mar_Eliya_Church
south,southwestward
south,Storms_lash
south,Storm_wreaks_havoc
south,southwesternmost
south,easterly
south,northest
south,westwards
south,###km_###miles
south,Conejo_Grade
south,Wreck_closes
south,northernmost_reaches
south,easternmost
south,northerly
south,Gamebird_Road
south,forested_ravine
south,outskirts
south,northeasterly_direction
south,Smoke_drifted
south,Calvine_Road
south,Siuslaw_River
south,Flooding_closes
south,thick_fog_blanketed
south,Bermont_Road
south,southerly_direction
south,HIghway
south,Farther_south
south,Near_Muqdadiyah
south,downtown_Waxhaw
south,Waaga_Way
south,Outerbelt
south,Euphrates_River_tributary
south,brutal_Zetas_cartel
south,Misseriya_Arabs
south,Earhart_Expressway
south,Venturacci_Lane
south,northwesterly_direction
south,area
south,Kismet_Parkway
south,eastwards
south,Collierville_Arlington
south,northerly_direction
south,Haramain_Expressway
south,southeasternmost
south,Aqui_Esta_Drive
south,upriver
south,Sinkhole_swallows
